Player: ; Player16; Question: ;Escolheu avatar; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Escolheu avatar; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;1; isCorrect: ;True; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player16; Question: ;Colocou Bola; Answer: ;4; isCorrect: ;True; isComplete: ;True
Player: ; Player16; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
