Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Escolheu avatar; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;4; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;1; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;1; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player41; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player41; Question: ;Colocou Bola; Answer: ;4; isCorrect: ;True; isComplete: ;True
