Player: ; Player1; Question: ;Escolheu avatar; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;0; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;0; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Escolheu avatar; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Solicitou Dica / Humano; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;2; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;1; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;3; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;4; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;4; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player1; Question: ;Duração da tarefa; Answer: ;522,476517895237; isCorrect: ;True; isComplete: ;True
Player: ; Player1; Question: ;Colocou Bola; Answer: ;1; isCorrect: ;True; isComplete: ;True
Player: ; Player1; Question: ;Duração da tarefa; Answer: ;522,476517895237; isCorrect: ;True; isComplete: ;True
